pt_bin,pt_low,pt_high,width_GeV,r_hat,r_err_down,r_err_up,sigma_SM_pb,sigma_hat_pb,sigma_err_down_pb,sigma_err_up_pb,dsigma_dpT_hat_pb_per_GeV,dsigma_dpT_err_down_pb_per_GeV,dsigma_dpT_err_up_pb_per_GeV,truncated_low,truncated_high,scan_file
0_60,0.0,60.0,60.0,1.0,4.875,4.888601721565894,0.008167587520593435,0.008167587520593435,0.039816989162892995,0.039928082414213174,0.00013612645867655724,0.0006636164860482166,0.0006654680402368862,False,False,/eos/user/h/haozhong/Combine/CMSSW_14_1_0_pre4/src/CombineHarvester/VHccCoHa/diffxsec_outputs_15_01_Gnn_SM_FR20_29jan/2024/scans/higgsCombine_scan_r_pTH_0_60.MultiDimFit.mH125.root
60_120,60.0,120.0,60.0,1.0,2.625,2.8964364128805773,0.008408047587255777,0.008408047587255777,0.022071124916546416,0.024353375192960314,0.00014013412645426295,0.00036785208194244025,0.00040588958654933855,False,False,/eos/user/h/haozhong/Combine/CMSSW_14_1_0_pre4/src/CombineHarvester/VHccCoHa/diffxsec_outputs_15_01_Gnn_SM_FR20_29jan/2024/scans/higgsCombine_scan_r_pTH_60_120.MultiDimFit.mH125.root
120_200,120.0,200.0,80.0,1.0,1.625,1.673777965132758,0.004290834161066862,0.004290834161066862,0.006972605511733652,0.007181903670832618,5.363542701333578e-05,8.715756889667065e-05,8.977379588540772e-05,False,False,/eos/user/h/haozhong/Combine/CMSSW_14_1_0_pre4/src/CombineHarvester/VHccCoHa/diffxsec_outputs_15_01_Gnn_SM_FR20_29jan/2024/scans/higgsCombine_scan_r_pTH_120_200.MultiDimFit.mH125.root
200_300,200.0,300.0,100.0,1.0,1.625,1.7075592854657047,0.0011421852674715943,0.0011421852674715943,0.0018560510596413407,0.0019503490591932504,1.1421852674715943e-05,1.8560510596413408e-05,1.9503490591932505e-05,False,False,/eos/user/h/haozhong/Combine/CMSSW_14_1_0_pre4/src/CombineHarvester/VHccCoHa/diffxsec_outputs_15_01_Gnn_SM_FR20_29jan/2024/scans/higgsCombine_scan_r_pTH_200_300.MultiDimFit.mH125.root
300_450,300.0,450.0,150.0,1.0000005960464478,1.8750005960464478,2.0403212852483192,0.0002978664905036592,0.00029786666804592276,0.0005584998472366246,0.0006077433407368322,1.9857777869728184e-06,3.7233323149108303e-06,4.051622271578881e-06,False,False,/eos/user/h/haozhong/Combine/CMSSW_14_1_0_pre4/src/CombineHarvester/VHccCoHa/diffxsec_outputs_15_01_Gnn_SM_FR20_29jan/2024/scans/higgsCombine_scan_r_pTH_300_450.MultiDimFit.mH125.root
450_inf,450.0,1000.0,550.0,1.0,5.875,6.574489964630293,7.278992710867009e-05,7.278992710867009e-05,0.0004276408217634368,0.000478556645302122,1.323453220157638e-07,7.775287668426123e-07,8.701029914584036e-07,False,False,/eos/user/h/haozhong/Combine/CMSSW_14_1_0_pre4/src/CombineHarvester/VHccCoHa/diffxsec_outputs_15_01_Gnn_SM_FR20_29jan/2024/scans/higgsCombine_scan_r_pTH_450_inf.MultiDimFit.mH125.root
