pt_bin,pt_low,pt_high,width_GeV,r_hat,r_err_down,r_err_up,sigma_SM_pb,sigma_hat_pb,sigma_err_down_pb,sigma_err_up_pb,dsigma_dpT_hat_pb_per_GeV,dsigma_dpT_err_down_pb_per_GeV,dsigma_dpT_err_up_pb_per_GeV,truncated_low,truncated_high,scan_file
0_60,0.0,60.0,60.0,1.0,4.125,4.177597004768494,0.008167587520593435,0.008167587520593435,0.03369129852244792,0.03412088916221566,0.00013612645867655724,0.0005615216420407986,0.0005686814860369276,False,False,/eos/user/h/haozhong/Combine/CMSSW_14_1_0_pre4/src/CombineHarvester/VHccCoHa/diffxsec_outputs_15_01_Gnn_SM_FR20_29jan/Run3_full/scans/higgsCombine_scan_r_pTH_0_60.MultiDimFit.mH125.root
60_120,60.0,120.0,60.0,1.0,2.375,2.451291503551433,0.008408047587255777,0.008408047587255777,0.01996911301973247,0.020610575612096213,0.00014013412645426295,0.0003328185503288745,0.0003435095935349369,False,False,/eos/user/h/haozhong/Combine/CMSSW_14_1_0_pre4/src/CombineHarvester/VHccCoHa/diffxsec_outputs_15_01_Gnn_SM_FR20_29jan/Run3_full/scans/higgsCombine_scan_r_pTH_60_120.MultiDimFit.mH125.root
120_200,120.0,200.0,80.0,1.0,1.375,1.444404693282122,0.004290834161066862,0.004290834161066862,0.0058998969714669355,0.006197701000340232,5.363542701333578e-05,7.374871214333669e-05,7.74712625042529e-05,False,False,/eos/user/h/haozhong/Combine/CMSSW_14_1_0_pre4/src/CombineHarvester/VHccCoHa/diffxsec_outputs_15_01_Gnn_SM_FR20_29jan/Run3_full/scans/higgsCombine_scan_r_pTH_120_200.MultiDimFit.mH125.root
200_300,200.0,300.0,100.0,1.0,1.375,1.507780823302919,0.0011421852674715943,0.0011421852674715943,0.0015705047427734423,0.0017221650429527853,1.1421852674715943e-05,1.570504742773442e-05,1.7221650429527854e-05,False,False,/eos/user/h/haozhong/Combine/CMSSW_14_1_0_pre4/src/CombineHarvester/VHccCoHa/diffxsec_outputs_15_01_Gnn_SM_FR20_29jan/Run3_full/scans/higgsCombine_scan_r_pTH_200_300.MultiDimFit.mH125.root
300_450,300.0,450.0,150.0,1.0,1.625,1.6730572640061765,0.0002978664905036592,0.0002978664905036592,0.00048403304706844623,0.0004983476956411738,1.985776603357728e-06,3.2268869804563083e-06,3.3223179709411588e-06,False,False,/eos/user/h/haozhong/Combine/CMSSW_14_1_0_pre4/src/CombineHarvester/VHccCoHa/diffxsec_outputs_15_01_Gnn_SM_FR20_29jan/Run3_full/scans/higgsCombine_scan_r_pTH_300_450.MultiDimFit.mH125.root
450_inf,450.0,1000.0,550.0,1.0,1.375,4.140772882109087,7.278992710867009e-05,7.278992710867009e-05,0.00010008614977442137,0.00030140655626227826,1.323453220157638e-07,1.8197481777167522e-07,5.480119204768695e-07,False,False,/eos/user/h/haozhong/Combine/CMSSW_14_1_0_pre4/src/CombineHarvester/VHccCoHa/diffxsec_outputs_15_01_Gnn_SM_FR20_29jan/Run3_full/scans/higgsCombine_scan_r_pTH_450_inf.MultiDimFit.mH125.root
