pt_bin,pt_low,pt_high,width_GeV,r_hat,r_err_down,r_err_up,sigma_SM_pb,sigma_hat_pb,sigma_err_down_pb,sigma_err_up_pb,dsigma_dpT_hat_pb_per_GeV,dsigma_dpT_err_down_pb_per_GeV,dsigma_dpT_err_up_pb_per_GeV,truncated_low,truncated_high,scan_file
0_60,0.0,60.0,60.0,1.0,5.785714149475098,2.7857143878936768,0.008167587520593435,0.008167587520593435,0.04725532668497367,0.022752566070497974,0.00013612645867655724,0.0007875887780828944,0.00037920943450829955,True,True,/eos/user/h/haozhong/Combine/CMSSW_14_1_0_pre4/src/CombineHarvester/VHccCoHa/diffxsec_outputs_15_01_Gnn_SM_FR20_29jan/2023/scans/higgsCombine_scan_r_pTH_0_60.MultiDimFit.mH125.root
60_120,60.0,120.0,60.0,1.0,5.785714149475098,2.7857143878936768,0.008408047587255777,0.008408047587255777,0.0486465598950457,0.023422419137913132,0.00014013412645426295,0.0008107759982507617,0.0003903736522985522,True,True,/eos/user/h/haozhong/Combine/CMSSW_14_1_0_pre4/src/CombineHarvester/VHccCoHa/diffxsec_outputs_15_01_Gnn_SM_FR20_29jan/2023/scans/higgsCombine_scan_r_pTH_60_120.MultiDimFit.mH125.root
120_200,120.0,200.0,80.0,1.0,5.785714149475098,2.7857143878936768,0.004290834161066862,0.004290834161066862,0.024825539918735658,0.011953038458549652,5.363542701333578e-05,0.0003103192489841957,0.00014941298073187066,True,True,/eos/user/h/haozhong/Combine/CMSSW_14_1_0_pre4/src/CombineHarvester/VHccCoHa/diffxsec_outputs_15_01_Gnn_SM_FR20_29jan/2023/scans/higgsCombine_scan_r_pTH_120_200.MultiDimFit.mH125.root
200_300,200.0,300.0,100.0,1.0,5.785714149475098,2.7857143878936768,0.0011421852674715943,0.0011421852674715943,0.006608357463332402,0.003181801933235808,1.1421852674715943e-05,6.608357463332402e-05,3.181801933235808e-05,True,True,/eos/user/h/haozhong/Combine/CMSSW_14_1_0_pre4/src/CombineHarvester/VHccCoHa/diffxsec_outputs_15_01_Gnn_SM_FR20_29jan/2023/scans/higgsCombine_scan_r_pTH_200_300.MultiDimFit.mH125.root
300_450,300.0,450.0,150.0,1.0,5.357142925262451,2.7857143878936768,0.0002978664905036592,0.0002978664905036592,0.001595713362274433,0.0008297709682674387,1.985776603357728e-06,1.0638089081829553e-05,5.531806455116258e-06,False,True,/eos/user/h/haozhong/Combine/CMSSW_14_1_0_pre4/src/CombineHarvester/VHccCoHa/diffxsec_outputs_15_01_Gnn_SM_FR20_29jan/2023/scans/higgsCombine_scan_r_pTH_300_450.MultiDimFit.mH125.root
450_inf,450.0,1000.0,550.0,1.0,5.785714149475098,2.7857143878936768,7.278992710867009e-05,7.278992710867009e-05,0.0004211417112118935,0.00020277194724035424,1.323453220157638e-07,7.657122022034427e-07,3.68676267709735e-07,True,True,/eos/user/h/haozhong/Combine/CMSSW_14_1_0_pre4/src/CombineHarvester/VHccCoHa/diffxsec_outputs_15_01_Gnn_SM_FR20_29jan/2023/scans/higgsCombine_scan_r_pTH_450_inf.MultiDimFit.mH125.root
